species_name,slope,intercept,p_value,decade_change_lwr,decade_change_upr,se,sd_residuals,aic,bic,sig,decade_change,biogeog,taxon,class,max_depth,max_length,endemism,IUCN,IUCN_category,date_assessed,slope_category,provisional_status
Haliotis scalaris,-0.015250371,29.99292761,1.13E-04,-41.05404788,-15.94982893,0.003930802,1.658610184,2485.918714,2504.904363,***,-29.6123778,temperate (warm),Invertebrate,Gastropoda,50,12,endemic,Least Concern,Not applicable,12/08/2020,declining,Near Threatened
Heliocidaris erythrogramma,-0.018116706,37.19262942,7.27E-101,-36.51034735,-31.61467225,8.23E-04,9.061694086,14240.0169,14265.01834,***,-34.10796174,temperate (cool),Invertebrate,Echinoidea,35,9,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Holopneustes inflatus,-0.044021546,87.29722675,1.49E-117,-66.43922595,-60.75926759,0.001732306,1.144763351,3569.962441,3591.007342,***,-63.71020317,temperate (cool),Invertebrate,Echinoidea,30,7,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Endangered
Holopneustes porosissimus,-0.044079218,87.87752064,2.64E-46,-68.24367579,-58.639535,0.002927482,1.170721049,2315.151815,2334.782836,***,-63.75836185,temperate (warm),Invertebrate,Echinoidea,15,7,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Endangered
Holopneustes purpurascens,0.012895659,-27.11926656,7.94E-04,13.24266958,59.92011269,0.003823871,1.083308493,1751.235029,1768.875728,***,34.57258443,temperate (warm),Invertebrate,Echinoidea,8,6,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Hypselodoris bennetti,-0.01116909,21.67587524,0.031068018,-38.76992781,-2.354231585,0.005170724,1.342901331,2299.652574,2318.35082,*,-22.67692809,temperate (warm),Invertebrate,Gastropoda,34,6,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Lunella torquata,-0.017278952,34.68901253,7.87E-10,-40.79117967,-23.78603586,0.002797198,3.674601032,7282.845717,7305.442582,***,-32.82456618,temperate (warm),Invertebrate,Gastropoda,20,9.8,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Lunella undulata,0.01071709,-21.95661801,3.81E-10,18.51455304,38.21975379,0.001704073,5.043295401,10416.06617,10439.15212,***,27.98848519,temperate (cool),Invertebrate,Gastropoda,10,5,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Meridiastra gunnii,-0.015801312,31.5368759,8.42E-10,-38.05554103,-22.02214304,0.002550272,2.972758334,3689.283181,3709.139723,***,-30.49966791,temperate (cool),Invertebrate,Asteroidea,15,13,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Mitra glabra,0.005652351,-12.48811429,3.39E-07,8.400904998,19.67794163,0.001096479,0.244866611,-17.64819916,1.237503645,***,13.89994372,temperate (warm),Invertebrate,Gastropoda,20,10.3,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Monoplex parthenopeus,0.005840607,-12.99304448,1.46E-04,6.750802332,22.58603115,0.001532422,0.417274626,1247.553075,1267.718722,***,14.3947428,temperate (warm),Invertebrate,Gastropoda,30,15,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Nectocarcinus tuberculosus,-0.010537386,20.15241333,2.50E-27,-24.858279,-18.08354722,9.56E-04,0.471892284,1690.042403,1711.916456,***,-21.54400444,temperate (cool),Invertebrate,Malacostraca,50,9,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Nectria macrobrachia,-0.007147896,13.86618595,0.004851633,-24.32462793,-4.920361467,0.002528948,1.080782298,1511.798143,1529.97379,**,-15.17555174,temperate (cool),Invertebrate,Asteroidea,180,12,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Nectria ocellata,-0.030297075,60.27634197,1.13E-101,-53.14939057,-47.11369053,0.001342576,1.5036886,5275.781289,5298.745685,***,-50.22293872,temperate (cool),Invertebrate,Asteroidea,240,26,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Endangered
Nectria pedicelligera,0.001497439,-3.801470619,0.511306708,-6.608830497,14.72101171,0.002279051,0.85742431,1722.269907,1741.816033,,3.508112967,temperate (cool),Invertebrate,Asteroidea,240,15,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Octopus tetricus,0.003623961,-8.410355374,0.126508808,-2.323714387,20.97345475,0.002369966,0.586938919,1918.619258,1938.881711,,8.702519372,temperate (warm),Invertebrate,Cephalopoda,30,80,endemic,Least Concern,Not applicable,8/04/2016,increasing,Least Concern
Ophidiaster confertus,0.021073339,-42.27006286,2.53E-17,45.80236788,81.00984617,0.002396412,2.545813813,1369.548042,1386.736479,***,62.45511436,temperate (warm),Invertebrate,Asteroidea,50,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Paguristes frontalis,0.029538228,-60.09402283,2.11E-23,73.2293044,124.9796319,0.002896019,1.278627651,2710.47663,2730.521486,***,97.41596982,temperate (cool),Invertebrate,Malacostraca,8,8,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Paguristes purpureantennatus,0.008047264,-16.89901205,0.010340719,4.534102424,38.57576473,0.003123254,0.691677329,466.6024696,482.6180179,*,20.35735617,temperate (warm),Invertebrate,Malacostraca,10,8,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Pagurus sinuatus,0.027942773,-57.32647101,1.44E-21,67.66993999,115.9733936,0.002804772,0.629149728,901.2868763,918.9077901,***,90.29515479,temperate (warm),Invertebrate,Malacostraca,20,6,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Panulirus cygnus,-0.01332353,26.77150262,0.002526173,-39.66083161,-10.27156627,0.004396274,3.506865435,2090.973899,2109.384251,**,-26.41916641,temperate (warm),Invertebrate,Malacostraca,180,40,endemic,Least Concern,Not applicable,3/12/2009,declining,Near Threatened
Penion mandarinus,-0.003489609,5.921022567,1.65E-04,-11.4859374,-3.795466532,9.23E-04,0.380645825,432.1891539,452.1168926,***,-7.720781873,temperate (cool),Invertebrate,Gastropoda,600,18,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Pentagonaster duebeni,-0.010797346,20.98455637,4.59E-12,-27.29414211,-16.34658413,0.001553964,1.173367688,6679.769103,6703.555574,***,-22.01222297,temperate (cool),Invertebrate,Asteroidea,160,8,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Phasianella australis,-0.004266592,7.815186452,0.234903251,-22.91482082,6.585289877,0.003590025,2.569530404,4413.100583,4433.238135,,-9.357040162,temperate (cool),Invertebrate,Gastropoda,5,10,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Phasianella ventricosa,-0.050972824,101.803403,4.95E-43,-73.59514713,-63.78739503,0.003499452,1.414699967,2496.686927,2515.681965,***,-69.07770212,temperate (cool),Invertebrate,Gastropoda,6,4.9,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Endangered
Phasianotrochus eximius,0.013073965,-27.41390813,8.69E-20,26.79355347,44.00650904,0.001410356,0.648047535,1805.879654,1826.145522,***,35.12622619,temperate (cool),Invertebrate,Gastropoda,8,4,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Phyllacanthus parvispinus,0.006148674,-12.39352009,0.0629816,-0.749162632,33.73321979,0.003303763,3.027221848,3389.719952,3410.09357,,15.20908839,temperate (warm),Invertebrate,Echinoidea,80,9,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Plectaster decanus,-0.005320887,9.970386082,0.001764241,-18.06040817,-4.481287983,0.001698875,0.857933079,3408.919038,3430.929991,**,-11.53099823,temperate (warm),Invertebrate,Asteroidea,200,24,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Pleuroploca australasia,-0.003327489,6.034385264,0.017373655,-13.0368727,-1.345915079,0.001397473,1.077709696,3615.951477,3637.827813,*,-7.37566332,temperate (cool),Invertebrate,Gastropoda,100,15,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Pseudonepanthia troughtoni,-0.005702728,10.77540407,0.013558494,-20.97070565,-2.690028695,0.00230538,0.809879906,1615.634787,1634.932282,*,-12.30542568,temperate (cool),Invertebrate,Asteroidea,70,14,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Pterochelus triformis,-0.003774313,6.604067742,0.492023333,-28.43803538,17.44417488,0.005488602,0.780566226,1073.265372,1089.764105,,-8.323744148,temperate (cool),Invertebrate,Gastropoda,30,6,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Ranella australasia,0.017761539,-36.88412302,3.10E-22,38.69318753,63.37126045,0.001814333,0.949053547,6443.995852,6467.358678,***,50.52734257,temperate (warm),Invertebrate,Gastropoda,200,11,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Rhinoclavis bituberculata,0.034801307,-70.77395565,1.03E-18,88.24965028,163.8104316,0.003738788,0.800115014,604.0570763,619.9216632,***,122.8502221,temperate (warm),Invertebrate,Gastropoda,12,6,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Stichopus ludwigi,0.001478207,-4.051212627,0.687901499,-12.36077696,22.14216481,0.0036778,0.620704749,983.4835654,1000.582614,,3.462285033,temperate (warm),Invertebrate,Holothuroidea,25,13,endemic,Data Deficient,Not applicable,18/05/2010,increasing,Least Concern
Strigopagurus strigimanus,-0.029461799,58.1814223,3.51E-94,-52.22439739,-46.1038384,0.001335526,1.102232506,3541.903911,3563.449795,***,-49.25631469,temperate (cool),Invertebrate,Malacostraca,220,13,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Tosia australis,-0.048501765,97.1204975,9.30E-226,-69.17778721,-65.23831026,0.001332603,2.192588365,6391.148688,6413.987715,***,-67.26726106,temperate (cool),Invertebrate,Asteroidea,40,10,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Endangered
Tosia magnifica,-0.024342352,48.10897974,1.51E-36,-47.42650906,-38.0007926,0.001827057,0.901374117,1408.860735,1427.5438,***,-42.9078397,temperate (cool),Invertebrate,Asteroidea,200,9,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Turbo imperialis,-0.066499802,133.2865167,4.02E-06,-88.5583426,-59.11961166,0.014108067,1.994953559,889.4654151,903.6461249,***,-78.37271635,temperate (warm),Invertebrate,Gastropoda,15,7.5,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Endangered
Turbo jourdani,-0.014635735,28.34573799,4.66E-06,-38.10412489,-17.65758756,0.003162351,0.496927116,715.1970126,732.3035865,***,-28.6091345,temperate (warm),Invertebrate,Gastropoda,40,20,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Turbo kenwilliamsi,0.001485589,-3.282435533,0.715463902,-13.8980796,24.36521804,0.0040737,2.198516045,1688.788272,1706.969671,,3.479872943,temperate (warm),Invertebrate,Gastropoda,40,8,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Turbo militaris,0.06871507,-139.1196754,1.16E-11,213.8150889,654.4449955,0.009718387,2.175354582,877.495887,892.1891801,***,386.5760201,temperate (warm),Invertebrate,Gastropoda,7,15,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Uniophora granifera,-0.006653036,12.51151743,4.30E-05,-20.25857671,-7.688607201,0.001621747,0.84977804,3154.17454,3175.645374,***,-14.20348581,temperate (cool),Invertebrate,Asteroidea,30,24,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Acanthaluteres brownii,1.32E-04,-1.566939672,0.983688239,-25.08839028,34.30658572,0.006468185,0.66597085,1174.520375,1190.709864,,0.305147086,temperate (warm),Vertebrate,Actinopterygii,25,55,endemic,Least Concern,Not applicable,17/07/2017,increasing,Least Concern
Acanthaluteres spilomelanurus,-0.005212611,8.739643187,0.010684406,-19.10241668,-2.76732323,0.002037708,0.536975205,1977.837985,1997.161482,*,-11.3101552,temperate (cool),Vertebrate,Actinopterygii,10,14,endemic,Least Concern,Not applicable,17/07/2017,declining,Least Concern
Acanthaluteres vittiger,0.001113605,-3.402328283,0.416824533,-3.559829816,9.147586302,0.001371356,1.755366463,13240.80493,13265.208,,2.597328416,temperate (cool),Vertebrate,Actinopterygii,40,35,endemic,Least Concern,Not applicable,17/07/2017,increasing,Least Concern
Acanthistius ocellatus,0.017739211,-36.91067047,5.23E-08,30.11607522,73.96154866,0.003217465,0.465055472,890.6164718,908.2373857,***,50.44997159,temperate (warm),Vertebrate,Actinopterygii,100,64,endemic,Least Concern,Not applicable,4/02/2009,increasing,Least Concern
Acanthopagrus australis,-0.011859326,22.97170414,0.001395532,-35.60223471,-10.06211385,0.003700881,1.515302625,3350.432402,3370.254772,**,-23.89613096,temperate (warm),Vertebrate,Actinopterygii,30,66,endemic,Least Concern,Not applicable,4/12/2009,declining,Near Threatened
Achoerodus gouldii,0.006820487,-15.30143408,7.31E-05,8.323331543,26.38272878,0.001708341,0.153078053,545.2390157,563.3273869,***,17.00512053,temperate (warm),Vertebrate,Actinopterygii,40,175,endemic,Vulnerable,A2bd,12/03/2008,increasing,Least Concern
Achoerodus viridis,0.003640928,-8.1674339,0.047230109,0.110151756,18.12462199,0.001833256,0.670259109,2436.11036,2457.166481,*,8.744994521,temperate (warm),Vertebrate,Actinopterygii,40,100,endemic,Near Threatened,Not applicable,12/03/2008,increasing,Least Concern
Aetapcus maculatus,-9.38E-04,0.784773051,0.357699967,-6.534402283,2.468977846,0.001018912,0.308066687,77.27025275,95.35273726,,-2.136195344,temperate (cool),Vertebrate,Actinopterygii,30,22,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Amphiprion mccullochi,0.001947326,-4.626662072,0.639263246,-13.28089139,26.13386858,0.004151018,1.151867636,1173.123007,1189.128667,,4.585929499,temperate (warm),Vertebrate,Actinopterygii,12,45,endemic,Vulnerable,B1ab(iii),1/08/2021,increasing,Least Concern
Anoplocapros amygdaloides,3.39E-04,-2.361133401,0.817384142,-5.679358624,7.691177782,0.001468736,0.098638477,-153.5962163,-136.6429178,,0.784428157,temperate (warm),Vertebrate,Actinopterygii,100,39,endemic,Least Concern,Not applicable,13/11/2019,increasing,Least Concern
Anoplocapros inermis,-0.008706393,15.86951377,0.056149752,-33.34543144,0.471343185,0.004546315,0.314881471,827.5884828,843.8898669,,-18.16556939,temperate (warm),Vertebrate,Actinopterygii,300,37,endemic,Least Concern,Not applicable,13/11/2019,declining,Near Threatened
Anoplocapros lenticularis,0.004800569,-11.40913636,0.084333683,-1.457041463,26.58603227,0.002774546,0.149743102,311.526439,327.6683647,,11.68778863,temperate (warm),Vertebrate,Actinopterygii,40,33,endemic,Least Concern,Not applicable,12/08/2019,increasing,Least Concern
Aploactisoma milesii,-0.001404277,1.633288965,0.256561935,-8.434603585,2.372446126,0.001236035,0.230015988,-92.32710725,-76.1660884,,-3.181749595,temperate (cool),Vertebrate,Actinopterygii,30,23,endemic,Least Concern,Not applicable,24/03/2022,declining,Least Concern
Aplodactylus lophodon,-7.58E-05,-0.806687023,0.969171147,-8.624540858,9.057427831,0.001959875,0.753702161,3407.934235,3429.103584,,-0.174289179,temperate (warm),Vertebrate,Actinopterygii,10,45,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Aracana aurita,-0.008660905,15.51369542,8.18E-11,-22.83067617,-13.03646112,0.001323813,0.311906297,2989.134583,3010.612986,***,-18.07981022,temperate (cool),Vertebrate,Actinopterygii,200,25,endemic,Least Concern,Not applicable,12/08/2019,declining,Near Threatened
Aracana ornata,-0.003237871,4.667640446,0.022279301,-12.90967546,-1.082604437,0.001410811,0.119125158,43.42295486,59.18363987,*,-7.184332778,temperate (cool),Vertebrate,Actinopterygii,60,15,endemic,Least Concern,Not applicable,13/11/2019,declining,Least Concern
Arripis georgianus,0.012721321,-26.56563153,0.301228108,-23.04754076,133.4553964,0.01229567,6.20170279,4210.353578,4228.316472,,34.0334543,temperate (warm),Vertebrate,Actinopterygii,30,41,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Aspasmogaster costata,0.009868285,-21.04490191,1.03E-05,13.61321979,38.65541385,0.002206876,0.346184042,310.6795068,327.4161024,***,25.5113063,temperate (warm),Vertebrate,Actinopterygii,20,5,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Atypichthys strigatus,0.001636201,-3.050304422,0.428996656,-5.415208831,13.99944057,0.002068441,5.099580557,11110.77884,11134.56389,,3.839362863,temperate (warm),Vertebrate,Actinopterygii,30,25,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Austrolabrus maculatus,0.002184849,-5.488261821,0.220083051,-2.962429206,13.96121471,0.001781083,0.626893964,4615.836844,4638.431803,,5.159495245,temperate (warm),Vertebrate,Actinopterygii,40,17,endemic,Least Concern,Not applicable,25/03/2009,increasing,Least Concern
Bodianus frenchii,-0.001298233,1.184538726,0.681738181,-15.8596168,11.95174202,0.003163996,0.314810861,942.8699252,960.2384109,,-2.94505436,temperate (warm),Vertebrate,Actinopterygii,82,49,endemic,Near Threatened,Not applicable,12/04/2008,declining,Least Concern
Bovichtus angustifrons,0.00264478,-6.529477542,0.031977397,0.532322947,12.35434812,0.001231762,0.439112093,1333.681436,1354.150258,*,6.279083592,temperate (cool),Vertebrate,Actinopterygii,20,28,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Brachaelurus waddi,0.002893213,-7.107932228,0.414681151,-8.894643273,25.40658598,0.00354028,0.294664314,274.8559932,290.0765331,,6.88878216,temperate (warm),Vertebrate,Chondrichthyes,140,122,endemic,Least Concern,Not applicable,15/05/2015,increasing,Least Concern
Brachaluteres jacksonianus,0.012501879,-26.74191591,7.65E-12,22.89940114,44.70642473,0.001809677,0.303901139,2031.135367,2051.879945,***,33.35791293,temperate (warm),Vertebrate,Actinopterygii,25,10,endemic,Least Concern,Not applicable,3/03/2015,increasing,Least Concern
Caesioperca rasor,-3.20E-04,0.522588326,0.858900389,-8.483907296,7.670729667,0.001801058,2.737247382,5298.668477,5319.727398,,-0.734676358,temperate (cool),Vertebrate,Actinopterygii,100,26,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Cephaloscyllium laticeps,0.015159895,-31.47370109,2.55E-32,34.07645721,49.91509803,0.001237085,0.658420427,1276.404379,1296.203805,***,41.77476935,temperate (cool),Vertebrate,Chondrichthyes,60,150,endemic,Least Concern,Not applicable,8/04/2015,increasing,Least Concern
Chaetodon guentheri,0.01182664,-25.35538307,0.001563425,10.97226311,55.35253837,0.003727209,0.465524273,2076.291221,2095.342139,**,31.30050557,temperate (warm),Vertebrate,Actinopterygii,70,22,endemic,Least Concern,Not applicable,7/10/2009,increasing,Least Concern
Chaetodon tricinctus,-0.003588547,6.707058767,0.380128225,-23.42995595,10.70574408,0.004084546,1.210975547,1193.755907,1210.37534,,-7.930766807,temperate (warm),Vertebrate,Actinopterygii,15,15,endemic,Least Concern,Not applicable,9/10/2009,declining,Least Concern
Chelmonops curiosus,-0.008670713,16.32592681,2.47E-04,-26.36366907,-8.905198055,0.002357223,0.433002784,1754.604178,1774.568886,***,-18.09830904,temperate (warm),Vertebrate,Actinopterygii,40,26,endemic,Least Concern,Not applicable,9/10/2009,declining,Near Threatened
Chelmonops truncatus,-0.002296196,3.276407845,0.335072684,-14.81025971,5.60604886,0.002380184,0.459928226,1092.095827,1109.92918,,-5.149845149,temperate (warm),Vertebrate,Actinopterygii,70,22,endemic,Least Concern,Not applicable,9/10/2009,declining,Least Concern
Chironemus maculosus,0.005359919,-11.88132416,2.82E-04,5.913372818,20.85025514,0.001461679,0.231351293,-50.23513692,-34.60280517,***,13.1355741,temperate (warm),Vertebrate,Actinopterygii,10,33,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Choerodon rubescens,0.032404512,-66.48194239,2.43E-33,87.90969798,136.6688188,0.002555961,0.371851521,1033.358651,1051.719855,***,110.8847227,temperate (warm),Vertebrate,Actinopterygii,40,90,endemic,Least Concern,Not applicable,30/04/2004,increasing,Least Concern
Chromis klunzingeri,0.004197619,-9.016197962,0.586021116,-22.18166071,55.90872347,0.007698827,1.756861794,1054.343311,1069.276676,,10.14789122,temperate (warm),Vertebrate,Actinopterygii,40,12,endemic,Least Concern,Not applicable,1/08/2021,increasing,Least Concern
Chromis nitida,-0.140400437,281.5710941,1.40E-39,-97.43481051,-93.93442732,0.009534674,2.085584585,2300.143706,2316.295189,***,-96.05546666,tropical,Vertebrate,Actinopterygii,25,7,endemic,Least Concern,Not applicable,1/08/2021,declining,Critically Endangered
Cnidoglanis macrocephalus,-0.005265873,9.46549581,0.041988245,-21.17196534,-0.459036294,0.002584771,0.585612777,1234.224394,1252.694006,*,-11.41885902,temperate (warm),Vertebrate,Actinopterygii,15,91,endemic,Data Deficient,Not applicable,4/02/2009,declining,Least Concern
Cochleoceps orientalis,0.00163729,-4.513902305,0.66442537,-12.40958625,23.10883466,0.00377131,0.413040251,489.8410588,505.715889,,3.841965336,temperate (warm),Vertebrate,Actinopterygii,40,5.5,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Coris auricularis,0.025924534,-51.56311234,3.14E-36,66.29373058,98.43341432,0.001957662,2.238831439,992.2807987,1011.024243,***,81.65415696,temperate (warm),Vertebrate,Actinopterygii,45,40,endemic,Least Concern,Not applicable,12/04/2008,increasing,Least Concern
Coris bulbifrons,0.006362186,-13.55591997,0.049701121,0.070814904,33.94801699,0.003230387,0.537338339,395.1366837,410.8868285,*,15.77688549,temperate (warm),Vertebrate,Actinopterygii,20,95,endemic,Vulnerable,"B2ab(ii,v)",12/04/2008,increasing,Least Concern
Dactylophora nigricans,0.011307639,-24.32218194,2.49E-11,20.26387365,39.96440012,0.001680704,0.254962994,2041.224867,2062.252878,***,29.74074507,temperate (cool),Vertebrate,Actinopterygii,30,120,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Dinolestes lewini,0.025706297,-52.68895831,2.35E-30,63.48820918,99.82025593,0.002223334,3.0542566,13837.68705,13862.23546,***,80.74361898,temperate (cool),Vertebrate,Actinopterygii,60,90,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Diodon nicthemerus,-0.001068886,0.951489914,0.245458992,-6.39877953,1.704640085,9.20E-04,0.385968548,749.577041,770.3577903,,-2.43116051,temperate (cool),Vertebrate,Actinopterygii,50,40,endemic,Least Concern,Not applicable,29/11/2023,declining,Least Concern
Dotalabrus alleni,-0.024708121,48.23733929,7.10E-19,-49.90167257,-36.02440325,0.002709007,0.284738558,1034.035531,1052.510487,***,-43.38665887,temperate (warm),Vertebrate,Actinopterygii,15,10,endemic,Least Concern,Not applicable,4/02/2009,declining,Vulnerable
Dotalabrus aurantiacus,0.007392799,-16.4912559,6.81E-13,13.20389927,24.16368497,0.001023825,0.414574997,5319.272134,5342.706697,***,18.55721524,temperate (cool),Vertebrate,Actinopterygii,47,15,endemic,Least Concern,Not applicable,12/06/2008,increasing,Least Concern
Enneapterygius howensis,0.118975105,-239.8088084,3.90E-49,1036.207593,2008.843806,0.006851828,4.788778786,1040.130752,1055.708363,***,1447.92905,temperate (warm),Vertebrate,Actinopterygii,5,3.5,endemic,Least Concern,Not applicable,3/05/2010,increasing,Least Concern
Enoplosus armatus,0.004273219,-9.564119314,0.047750352,0.101174673,21.62566137,0.002157847,1.599113486,12185.1387,12209.5948,*,10.3398005,temperate (warm),Vertebrate,Actinopterygii,100,50,endemic,Least Concern,Not applicable,12/08/2019,increasing,Least Concern
Eocallionymus papilio,0.018208043,-37.73898891,6.19E-14,36.50596621,69.4373803,0.00239437,0.622886969,1832.954752,1852.934152,***,52.08291591,temperate (warm),Vertebrate,Actinopterygii,50,13,endemic,Least Concern,Not applicable,24/03/2022,increasing,Least Concern
Eubalichthys bucephalus,-0.003768699,6.069977687,0.118298837,-17.76175005,2.223832751,0.002410205,0.321528364,1282.9213,1301.734052,,-8.311892216,temperate (warm),Vertebrate,Actinopterygii,250,50,endemic,Least Concern,Not applicable,17/07/2017,declining,Least Concern
Eubalichthys gunnii,-4.17E-04,-1.04076716,0.803308012,-8.163921703,6.817947106,0.001674288,0.214099135,1404.644535,1424.374326,,-0.955861587,temperate (cool),Vertebrate,Actinopterygii,150,60,endemic,Least Concern,Not applicable,17/07/2017,declining,Least Concern
Eubalichthys mosaicus,-6.21E-04,-0.65605342,0.7896749,-11.24677989,9.496242933,0.002326959,0.25045641,1892.629717,1912.497585,,-1.419352049,temperate (warm),Vertebrate,Actinopterygii,80,60,endemic,Least Concern,Not applicable,17/07/2017,declining,Least Concern
Eupetrichthys angustipes,0.010115535,-21.81921959,2.30E-07,15.60384315,37.82830971,0.001948152,0.491483225,4492.506537,4514.719683,***,26.22789825,temperate (warm),Vertebrate,Actinopterygii,40,20,endemic,Least Concern,Not applicable,12/06/2008,increasing,Least Concern
Gerres subfasciatus,0.050301231,-102.3278946,1.82E-17,145.8288157,312.4694994,0.005733755,1.34092856,1917.228975,1934.830005,***,218.4287809,temperate (warm),Vertebrate,Actinopterygii,40,22,endemic,Least Concern,Not applicable,2/03/2015,increasing,Least Concern
Girella elevata,0.004727299,-11.13752288,0.063995216,-0.61958285,25.09650304,0.002549648,0.415621551,2460.039291,2480.044273,,11.49951864,temperate (warm),Vertebrate,Actinopterygii,25,76,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Girella zebra,0.004256651,-9.789293398,0.050487161,-0.015699993,21.67495709,0.00217528,0.895630345,7024.677553,7047.719421,,10.29771264,temperate (cool),Vertebrate,Actinopterygii,20,54,endemic,Least Concern,Not applicable,29/11/2023,increasing,Least Concern
Glaucosoma hebraicum,0.003497414,-8.537427988,0.054278507,-0.126414182,17.62445712,0.001812456,0.130009645,-17.88399232,-1.411603531,,8.386236732,temperate (warm),Vertebrate,Actinopterygii,200,122,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Gnathanacanthus goetzeei,-0.005251023,9.314537127,4.85E-08,-15.10824519,-7.505899295,9.50E-04,0.285564106,-9.536308488,8.208292985,***,-11.3885644,temperate (cool),Vertebrate,Actinopterygii,55,46,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Goniistius gibbosus,0.001023784,-3.695301838,0.793033753,-14.13123295,22.07885706,0.003898164,0.172081254,236.0820649,250.5199521,,2.385355097,temperate (warm),Vertebrate,Actinopterygii,20,30,endemic,Least Concern,Not applicable,29/11/2023,increasing,Least Concern
Goniistius rubrolabiatus,-0.004058906,6.648446501,0.078746163,-17.9219542,1.063623725,0.002305345,0.206378145,584.4090178,602.5266932,,-8.922534417,temperate (warm),Vertebrate,Actinopterygii,30,40,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Haletta semifasciata,0.005909538,-13.69064711,2.09E-07,8.89369159,20.55578315,0.001127197,0.152606825,170.3158377,188.6049679,***,14.576456,temperate (cool),Vertebrate,Actinopterygii,15,41,endemic,Least Concern,Not applicable,18/09/2009,increasing,Least Concern
Halichoeres brownfieldi,-0.011018085,21.66181449,3.54E-04,-32.4459183,-10.87763269,0.00306983,1.242725112,1579.931895,1598.480927,***,-22.40760551,temperate (warm),Vertebrate,Actinopterygii,30,15,endemic,Least Concern,Not applicable,13/02/2009,declining,Near Threatened
Helcogramma decurrens,0.047761163,-96.48517293,3.83E-36,154.5989409,254.2963429,0.003661039,1.994967788,2781.918695,2801.733432,***,200.3389313,temperate (warm),Vertebrate,Actinopterygii,15,7,endemic,Least Concern,Not applicable,4/02/2009,increasing,Least Concern
